"input,time",
"0,600",
"1,1000",
"2,1100",
"3,1000",
"4,1100",
"5,1900",
"6,1800",
"7,1900",
"8,2300",
"9,2400",
"10,3400",
"11,3100",
"12,2800",
"13,3200",
"14,3500",
"15,3100",
"16,4200",
"17,4400",
"18,4500",
"19,4200",
"20,4000",
"21,3800",
"22,5400",
"23,5500",
"24,5100",
"25,6100",
"26,6600",
"27,6700",
"28,5900",
"29,5300",
"30,5600",
"31,6800",
"32,8100",
"33,8200",
"34,7900",
"35,6900",
"36,9500",
"37,9300",
"38,7900",
"39,9700",
"40,9300",
"41,10900",
"42,10900",
"43,10000",
"44,8700",
"45,8800",
"46,17400",
"47,21400",
"48,34900",
"49,23400",
"50,32900",
"51,44100",
"52,53500",
"53,30600",
"54,117100",
"55,138500",
"56,809700",
"57,828400",
"58,151400",
"59,32900",
"60,45900",
"61,35400",
"62,79700",
"63,135500",
"64,34700",
"65,33400",
"66,29400",
"67,23700",
"68,41500",
"69,22000",
"70,21800",
"71,23300",
"72,32700",
"73,39300",
"74,80300",
"75,42900",
"76,66000",
"77,47800",
"78,31000",
"79,35000",
"80,38200",
"81,62400",
average time,43689
