number of operations performed: 4861  n: 45  time in nanoseconds: 243200
number of operations performed: 23079  n: 48  time in nanoseconds: 464200
number of operations performed: 90823  n: 49  time in nanoseconds: 2273600
number of operations performed: 70726  n: 51  time in nanoseconds: 1033600
number of operations performed: 40895  n: 51  time in nanoseconds: 521100
number of operations performed: 31612  n: 53  time in nanoseconds: 390400
number of operations performed: 247711  n: 53  time in nanoseconds: 3881800
number of operations performed: 89562  n: 53  time in nanoseconds: 1094000
number of operations performed: 935656  n: 53  time in nanoseconds: 3579800
number of operations performed: 7297  n: 53  time in nanoseconds: 31800
number of operations performed: 135522  n: 53  time in nanoseconds: 545000
number of operations performed: 366846  n: 53  time in nanoseconds: 1713000
number of operations performed: 132360  n: 54  time in nanoseconds: 516400
number of operations performed: 58637  n: 54  time in nanoseconds: 964000
number of operations performed: 763738  n: 54  time in nanoseconds: 2985100
number of operations performed: 733144  n: 54  time in nanoseconds: 2975500
number of operations performed: 203104  n: 54  time in nanoseconds: 914400
number of operations performed: 136285  n: 54  time in nanoseconds: 641700
number of operations performed: 16266  n: 54  time in nanoseconds: 67200
number of operations performed: 370793  n: 55  time in nanoseconds: 1371500
number of operations performed: 442338  n: 55  time in nanoseconds: 1670900
number of operations performed: 263721  n: 55  time in nanoseconds: 1015900
number of operations performed: 2073673  n: 56  time in nanoseconds: 8670100
number of operations performed: 2409253  n: 57  time in nanoseconds: 9299000
number of operations performed: 62902  n: 58  time in nanoseconds: 262800
number of operations performed: 91448  n: 59  time in nanoseconds: 347000
number of operations performed: 2431109  n: 60  time in nanoseconds: 12584200
average time in nanoseconds: 2224340
